77;20
77;19
78;19
62;17
79;17
63;16
79;16
59;16
77;21
79;18
79;15
80;15
59;15
81;15
62;11
61;11
60;11
59;11
81;11
59;12
81;12
80;12
59;13
82;13
59;14
82;14
77;23
77;24
77;25
78;25
81;10
76;10
75;10
72;10
80;9
76;9
75;9
73;9
68;9
67;9
66;9
65;9
64;9
63;9
62;9
61;9
60;9
59;9
58;9
57;9
56;9
55;9
79;8
78;8
77;8
74;8
73;8
68;8
55;8
72;7
71;7
70;7
69;7
54;7
45;7
44;7
42;7
39;7
37;7
36;7
35;7
34;7
33;7
32;7
31;7
30;7
29;7
28;7
27;7
53;6
52;6
51;6
50;6
49;6
48;6
47;6
46;6
41;6
40;6
26;6
25;6
79;27
78;28
